full_address,lon,lat,school_code,district_name,school_name,grade,spg_score,crime_per_c_num,szip_ad,school_type_txt,calendar_only_txt,student_num,class_teach_num,calc_student_teach_ratio,state+ppe,federal_ppe,local_ppe,total_ppe
"329 N. Irwin Ave, Charlotte, NC, 28202",-80.8505028,35.2377168,600571,Charlotte-Mecklenburg Schools,Irwin Academic Center,B,75,0.2,28202,Magnet School,Traditional Calendar,501,32,15.65625,5227.1,942.34,2352.27,8521.71
"3295 Old Murphy Road, Franklin, NC, 28734",-83.4348192,35.1665933,560304,Macon County Schools,Cartoogechaye Elementary,C,69,0,28734,Regular School,Traditional Calendar,350,25,14,6246.36,1118.33,2139.06,9503.75
"3300 Briarcliff Drive, Greenville, NC, 27834",-77.4213803,35.5909866,740368,Pitt County Schools,Lakeforest Elementary,D,49,0,27834,Regular School,Traditional Calendar,789,50,15.78,5616.83,1125.24,1932.31,8674.38
"3300 Normandy Road, Greensboro, NC, 27408",-79.8163312,36.1156853,410436,Guilford County Schools,James Y Joyner Elementary,D,53,1.05,27408,Regular School,Traditional Calendar,286,21,13.61904762,5453.57,1087.81,2785.51,9326.89
"3301 Country Club Dr, Charlotte, NC, 28205",-80.788413,35.233947,600527,Charlotte-Mecklenburg Schools,Shamrock Gardens Elementary,C,63,0.85,28205,Regular School,Traditional Calendar,472,30,15.73333333,5227.1,942.34,2352.27,8521.71
"3301 Wicker St, Sanford, NC, 27330",-79.2152392,35.4682735,530356,Lee County Schools,West Lee Middle,C,58,0,27330,Regular School,Traditional Calendar,712,46,15.47826087,5638.31,997.68,2040.07,8676.06
"3308 E Wilson Street, Farmville, NC, 27828",-77.568978,35.594238,740344,Pitt County Schools,Farmville Central High,C,63,0.82,27828,Regular School,Traditional Calendar,731,50,14.62,5616.83,1125.24,1932.31,8674.38
"3309 Wicker St, Sanford, NC, 27330",-79.2153953,35.469469,530354,Lee County Schools,J R Ingram Jr Elementary,C,63,0.14,27330,Regular School,Traditional Calendar,712,43,16.55813953,5638.31,997.68,2040.07,8676.06
"331 East High Rd, Bostic, NC, 28018",-81.8180161,35.3406288,810340,Rutherford County Schools,East Rutherford High School,C,69,0.29,28018,Regular School,Traditional Calendar,682,47,14.5106383,6406.89,1137.45,1703.63,9247.97
"3316 Arendell Street, Morehead City, NC, 28557",-76.7496683,34.7253384,160317,Carteret County Public Schools,Morehead Elem at Camp Glenn,C,65,0.37,28557,Regular School,Traditional Calendar,272,24,11.33333333,5589.94,837.39,2875.09,9302.42
"3323 Highway 24, Newport, NC, 28570",-76.9518435,34.7212583,160306,Carteret County Public Schools,Bogue Sound Elementary,B,70,0,28570,Regular School,Traditional Calendar,427,36,11.86111111,5589.94,837.39,2875.09,9302.42
"333 Critcher Drive, Lexington, NC, 27295",-80.244777,35.9266905,290350,Davidson County Schools,North Davidson Middle,C,65,0,27295,Regular School,Traditional Calendar,750,45,16.66666667,5611.71,782.5,1626.28,8020.49
"333 Mtn Heritage HS Road, Burnsville, NC, 28714",-82.3331875,35.9086347,995330,Yancey County Schools,Mountain Heritage High,B,78,1.88,28714,Regular School,Traditional Calendar,691,57,12.12280702,7230.17,1297.05,2203,10730.22
"3330 US 221 S Hwy, Forest City, NC, 28043",-81.8997821,35.2740067,810360,Rutherford County Schools,Harris Elementary School,B,70,0,28043,Regular School,Traditional Calendar,440,30,14.66666667,6406.89,1137.45,1703.63,9247.97
"3335 Sam Newell Rd, Matthews, NC, 28105",-80.715051,35.159987,600352,Charlotte-Mecklenburg Schools,Crown Point Elementary,B,70,0,28105,Regular School,Traditional Calendar,689,40,17.225,5227.1,942.34,2352.27,8521.71
"334 Elk Spur St, Elkin, NC, 28621",-80.860273,36.245632,861308,Elkin City Schools,Elkin High,B,79,1.29,28621,Regular School,Traditional Calendar,387,30,12.9,6791.75,883.95,2341.34,10017.04
"3345 Haywood Road, Hendersonville, NC, 28791",-82.514458,35.3585223,450342,Henderson County Schools,Rugby Middle,B,78,0.78,28791,Regular School,Traditional Calendar,893,57,15.66666667,5652.12,1041.44,1867.73,8561.29
"3350 34th Street Drive NE, Hickory, NC, 28601",-81.2675079,35.7759251,180302,Catawba County Schools,Harry M Arndt Middle,B,71,0.62,28601,Regular School,Traditional Calendar,646,40,16.15,5512.8,969.77,1844.1,8326.67
"3351 W Griffith St, Charlotte, NC, 28203",-80.8753253,35.2027955,600364,Charlotte-Mecklenburg Schools,Military and Global Leadership Academy,D,51,0.86,28203,Magnet School,Traditional Calendar,696,51,13.64705882,5227.1,942.34,2352.27,8521.71
"3355 Old Hwy 11 South, Deep Run, NC, 28525",-77.704149,35.146012,540336,Lenoir County Public Schools,South Lenoir High,C,59,1.67,28525,Regular School,Traditional Calendar,777,50,15.54,6284.38,1283.83,1373.47,8941.68
"3355 Wendell Blvd, Wendell, NC, 27591",-78.3725453,35.7854223,920600,Wake County Schools,Wendell Elementary,C,58,0,27591,Magnet School,Traditional Calendar,490,40,12.25,5349.09,659.07,2528.16,8536.32
"337 Blue Eagle Circle, Murphy, NC, 28906",-84.225606,35.102511,200312,Cherokee County Schools,Hiwassee Dam Elementary/Middle,B,75,0,28906,Regular School,Traditional Calendar,154,15,10.26666667,6200.75,1537.68,2426.7,10165.13
"338 W 15th Street, Newton, NC, 28658",-81.225474,35.679071,182316,Newton Conover City Schools,Newton-Conover High,C,62,1.01,28658,Regular School,Traditional Calendar,789,55,14.34545455,5686.2,1002.96,2417.4,9106.56
"3380 Lystra Road, Chapel Hill, NC, 27517",-79.037235,35.821518,190341,Chatham County Schools,North Chatham Elementary,C,62,0.19,27517,Regular School,Traditional Calendar,540,39,13.84615385,5698.82,909.6,3226.23,9834.65
"3384 E Main Street, Claremont, NC, 28610",-81.1419159,35.7176907,180332,Catawba County Schools,Claremont Elementary,C,55,0.78,28610,Regular School,Traditional Calendar,387,28,13.82142857,5512.8,969.77,1844.1,8326.67
"339 Running Creek Church Rd, Locust, NC, 28097",-80.3838897,35.2758725,840350,Stanly County Schools,West Stanly Middle School,C,68,0.73,28097,Regular School,Traditional Calendar,689,50,13.78,6061.38,879.35,1395.28,8336.01
"3395 Dunn Road, Eastover, NC, 28312",-78.791366,35.0915139,260306,Cumberland County Schools,Armstrong Elementary,B,72,0,28312,Regular School,Traditional Calendar,427,36,11.86111111,5413.29,1180.42,1671.5,8265.21
"340 Alspaugh Drive, Winston-Salem, NC, 27105",-80.2525718,36.1495858,340462,Forsyth County Schools,North Hills Elementary,D,49,0,27105,Regular School,Traditional Calendar,480,38,12.63157895,5616.37,1080.06,2335.59,9032.02
"340 Indian Town Road, Clinton, NC, 28328",-78.3303167,34.9718577,821308,Clinton City Schools,Clinton High,C,59,0.79,28328,Regular School,Traditional Calendar,887,55,16.12727273,5876.61,1305.75,1756.12,8938.48
"340 Main Street, Buies Creek, NC, 27506",-78.7363541,35.4119631,430320,Harnett County Schools,Buies Creek Elementary,B,70,0.33,27506,Regular School,Traditional Calendar,307,18,17.05555556,5730.98,945.13,1423.2,8099.31
"340 Victoria Road, Asheville, NC, 28801",-82.554934,35.574038,110322,Buncombe County Schools,Early College,A,90,0,28801,Regular School,Traditional Calendar,268,14,19.14285714,5669,917.31,2493.43,9079.74
"3400 Ferrell Road, Kinston, NC, 28501",-77.5196459,35.3199991,540308,Lenoir County Public Schools,Contentnea-Savannah School,D,48,1.03,28501,Regular School,Traditional Calendar,871,55,15.83636364,6284.38,1283.83,1373.47,8941.68
"3400 Rogers Road, Wake Forest, NC, 27587",-78.511548,35.9491202,920444,Wake County Schools,Heritage Middle,B,84,0.16,27587,Regular School,Year-Round Calendar,1270,74,17.16216216,5349.09,659.07,2528.16,8536.32
"3405 Yankee Hall Rd, Greenville, NC, 27834",-77.2237712,35.6220754,740376,Pitt County Schools,Pactolus,D,52,0.35,27834,Regular School,Traditional Calendar,571,42,13.5952381,5616.83,1125.24,1932.31,8674.38
"3407 Plateau Road, Newton, NC, 28658",-81.371724,35.618209,180340,Catawba County Schools,Fred T Foard High,C,67,2.6,28658,Regular School,Traditional Calendar,1001,58,17.25862069,5512.8,969.77,1844.1,8326.67
"3409 NC Highway 97, Wendell, NC, 27591",-78.3966596,35.8046394,920601,Wake County Schools,Wendell Middle,D,51,0.32,27591,Regular School,Traditional Calendar,928,56,16.57142857,5349.09,659.07,2528.16,8536.32
"3415 Piney Grove Church Road, Lawsonville, NC, 27022",-80.23687,36.492756,850338,Stokes County Schools,Piney Grove Middle,C,63,0.33,27022,Regular School,Traditional Calendar,305,21,14.52380952,6572.72,1127.27,1867.71,9567.7
"342 Petree Road, Winston Salem, NC, 27106",-80.314093,36.126799,340454,Forsyth County Schools,Mount Tabor High School,B,70,0.33,27106,Regular School,Traditional Calendar,1524,83,18.36144578,5616.37,1080.06,2335.59,9032.02
"3426 Ingram Dr, Raleigh, NC, 27604",-78.597033,35.8299952,920336,Wake County Schools,Brentwood Elementary,C,58,1.02,27604,Magnet School,Traditional Calendar,393,37,10.62162162,5349.09,659.07,2528.16,8536.32
"3430 Robinwood Rd, Gastonia, NC, 28054",-81.161564,35.21497,360416,Gaston County Schools,Hawks Nest Intermediate,C,55,0,28054,Regular School,Traditional Calendar,174,13,13.38461538,5402.62,971.33,1724.46,8098.41
"3431 Plateau Road, Newton, NC, 28658",-81.370976,35.613459,180342,Catawba County Schools,Jacobs Fork Middle,C,66,0.76,28658,Regular School,Traditional Calendar,529,32,16.53125,5512.8,969.77,1844.1,8326.67
"3437 US Hwy 601 N, Mocksville, NC, 27028",-80.6216269,35.9807702,300336,Davie County Schools,William R Davie Elementary,B,70,0,27028,Regular School,Traditional Calendar,387,32,12.09375,5729.1,808.62,2069.73,8607.45
"3450 Hunters Trail, Jacksonville, NC, 28546",-77.337622,34.740223,670321,Onslow County Schools,Hunters Creek Elementary,C,63,0,28546,Regular School,Traditional Calendar,559,37,15.10810811,5247.34,697.11,2055.04,7999.49
"346 West McDowell Junior High Road, Marion, NC, 28752",-82.0403255,35.7004593,590356,McDowell County Schools,West McDowell Middle,C,57,0.29,28752,Regular School,Traditional Calendar,687,41,16.75609756,6389.11,1512.02,1644.92,9546.05
"3493 Ramseur Julian Road, Liberty, NC, 27298",-79.6462921,35.8232978,760338,Randolph County Schools,Northeastern Randolph Middle,C,58,0.33,27298,Regular School,Traditional Calendar,614,36,17.05555556,5756.15,1039.15,1371.15,8166.45
"35 Fruitland Road, Hendersonville, NC, 28792",-82.4227954,35.3603525,450341,Henderson County Schools,North Henderson High,B,78,0.66,28792,Regular School,Traditional Calendar,1061,71,14.94366197,5652.12,1041.44,1867.73,8561.29
"350 Caldwell St, Chapel Hill, NC, 27516",-79.0621605,35.9171133,681300,Chapel Hill-Carrboro Schools,Northside Elementary,C,66,0,27516,Regular School,Traditional Calendar,479,42,11.4047619,5249.49,535.23,5879.17,11663.89
"350 Kennedy Dr, Lincolnton, NC, 28092",-81.244483,35.463094,550360,Lincoln County Schools,S Ray Lowder Elementary,B,75,0.46,28092,Regular School,Traditional Calendar,219,19,11.52631579,5501.99,880.28,1777.78,8160.05
"3500 E Ash Street, Goldsboro, NC, 27534",-77.9406385,35.3637881,960344,Wayne County Public Schools,Meadow Lane Elementary,C,57,0,27534,Regular School,Traditional Calendar,623,42,14.83333333,6171.58,1200.4,1188.1,8560.08
"3500 Rogers Road, Wake Forest, NC, 27587",-78.511867,35.9477059,920454,Wake County Schools,Heritage Elementary,B,78,0.7,27587,Regular School,Year-Round Calendar,860,53,16.22641509,5349.09,659.07,2528.16,8536.32
"3500 Sally Kirk Road, Winston-Salem, NC, 27106",-80.3200475,36.1164725,340406,Forsyth County Schools,Thomas Jefferson Middle,B,71,0.32,27106,Regular School,Traditional Calendar,1263,76,16.61842105,5616.37,1080.06,2335.59,9032.02
"3501 Fayettville Street, Durham, NC, 27707",-78.9074315,35.9582719,320388,Durham Public Schools,W G Pearson Elementary,F,36,0.57,27707,Magnet School,Traditional Calendar,524,37,14.16216216,5829.04,1126.43,3601.48,10556.95
"3501 Stallings Rd, Stallings, NC, 28104",-80.6649921,35.109087,900358,Union County Public Schools,Stallings Elementary,B,79,0,28104,Regular School,Traditional Calendar,622,33,18.84848485,5200.55,578.12,2335.55,8114.22
"3505 East Wendover Avenue, Greensboro, NC, 27405",-79.7272694,36.0887241,410399,Guilford County Schools,Middle College at GTCC-GSO,A,91,0.83,27405,Magnet School,Year-Round Calendar,120,10,12,5453.57,1087.81,2785.51,9326.89
"3508 Draper Ave, Charlotte, NC, 28205",-80.7828269,35.2190728,600453,Charlotte-Mecklenburg Schools,Merry Oaks Elementary,C,58,0,28205,Regular School,Traditional Calendar,670,43,15.58139535,5227.1,942.34,2352.27,8521.71
"3518 Central Heights Rd, Goldsboro, NC, 27534",-77.9102672,35.383607,960331,Wayne County Public Schools,Eastern Wayne Middle,D,52,0,27534,Regular School,Traditional Calendar,603,37,16.2972973,6171.58,1200.4,1188.1,8560.08
"3518 Masonboro Loop Road, Wilmington, NC, 28409",-77.862934,34.1797595,650380,New Hanover County Schools,Walter L Parsley Elementary,A,88,0.3,28409,Regular School,Traditional Calendar,665,37,17.97297297,5458.65,886.16,2834.7,9179.51
"3519 Miller Bridge Road, Connelly Springs, NC, 28612",-81.4678069,35.7152525,120315,Burke County Schools,East Burke Middle,B,72,0,28612,Regular School,Traditional Calendar,682,40,17.05,6119.8,982.92,1409.5,8512.22
"3522 Sturbridge Drive, Hope Mills, NC, 28348",-78.9828536,34.9767886,260342,Cumberland County Schools,C Wayne Collier Elementary,C,62,0.2,28348,Regular School,Traditional Calendar,501,35,14.31428571,5413.29,1180.42,1671.5,8265.21
"3523 Triangle Lake Road, High Point, NC, 27260",-79.950263,35.9601761,410580,Guilford County Schools,Union Hill Elementary,D,49,0.41,27260,Regular School,Traditional Calendar,493,38,12.97368421,5453.57,1087.81,2785.51,9326.89
"353 Old 277 Loop Hwy, Dallas, NC, 28034",-81.227247,35.3268,360376,Gaston County Schools,Costner Elementary,C,56,0,28034,Regular School,Traditional Calendar,538,29,18.55172414,5402.62,971.33,1724.46,8098.41
"3541 South NC Hwy 16, Moravian Falls, NC, 28654",-81.1784308,36.0946986,970315,Wilkes County Schools,Central Wilkes Middle,C,61,0.3,28654,Regular School,Traditional Calendar,669,43,15.55813953,5964.89,1265.4,1569.55,8799.84
"3545 Carver School Road, Winston Salem, NC, 27105",-80.2071071,36.1342371,340330,Forsyth County Schools,Carver High,F,37,0,27105,Regular School,Traditional Calendar,638,50,12.76,5616.37,1080.06,2335.59,9032.02
"355 Helena Moriah Rd, Timberlake, NC, 27583",-78.9526116,36.2861485,730332,Person County Schools,Helena Elementary,B,83,0,27583,Regular School,Traditional Calendar,619,35,17.68571429,6110.14,1175.29,1899.77,9185.2
"3557 Grange Hall Rd, Asheboro, NC, 27205",-79.971027,35.641768,760320,Randolph County Schools,Farmer Elementary,C,57,0,27205,Regular School,Traditional Calendar,350,25,14,5756.15,1039.15,1371.15,8166.45
"360 Center Church Road, Sanford, NC, 27330",-79.2263629,35.437933,530346,Lee County Schools,Tramway Elementary,B,75,0,27330,Regular School,Year-Round Calendar,691,38,18.18421053,5638.31,997.68,2040.07,8676.06
"3600 Drawbridge Parkway, Greensboro, NC, 27410",-79.880159,36.133667,410437,Guilford County Schools,Kernodle Middle,B,76,0.53,27410,Regular School,Traditional Calendar,753,45,16.73333333,5453.57,1087.81,2785.51,9326.89
"3600 Haywood Road, Hendersonville, NC, 28791",-82.5151586,35.3650465,450352,Henderson County Schools,West Henderson High,B,81,1.3,28791,Regular School,Traditional Calendar,1074,68,15.79411765,5652.12,1041.44,1867.73,8561.29
"3600 Hines Chapel Road, McLeansville, NC, 27301",-79.695518,36.147457,410454,Guilford County Schools,Madison Elementary,D,46,0,27301,Regular School,Traditional Calendar,224,15,14.93333333,5453.57,1087.81,2785.51,9326.89
"3600 NC Hwy 16N, Taylorsville, NC, 28681",-81.1917839,35.9703984,20324,Alexander County Schools,Sugar Loaf Elementary,B,70,0.42,28681,Regular School,Traditional Calendar,237,15,15.8,6063.47,923.51,1518.55,8505.53
"3600 Williams Dairy Road, Greensboro, NC, 27406",-79.7078376,36.0172276,410304,Guilford County Schools,Alamance Elementary,B,70,0.41,27406,Regular School,Traditional Calendar,488,31,15.74193548,5453.57,1087.81,2785.51,9326.89
"3601 South Bend Dr, Winterville, NC, 28590",-77.428278,35.563716,740379,Pitt County Schools,Ridgewood Elementary,B,70,0.14,28590,Regular School,Traditional Calendar,715,45,15.88888889,5616.83,1125.24,1932.31,8674.38
"3605 Old Greensboro Road, Winston-Salem, NC, 27101",-80.195844,36.1105579,340311,Forsyth County Schools,Atkins Academic & Tech High,A,86,1.39,27101,Magnet School,Traditional Calendar,718,51,14.07843137,5616.37,1080.06,2335.59,9032.02
"361 East Barkley Road, Statesville, NC, 28677",-80.8484366,35.7579555,490363,Iredell-Statesville Schools,Third Creek Elementary,D,51,0.91,28677,Regular School,Traditional Calendar,552,38,14.52631579,5234.47,923.73,1816.63,7974.83
"361 Jefferson Road, Boone, NC, 28607",-81.6612758,36.2228201,950322,Watauga County Schools,Hardin Park Elementary,B,79,0,28607,Regular School,Traditional Calendar,794,69,11.50724638,5987.48,751.97,3291.85,10031.3
"362 US Hwy 158 W, Gatesville, NC, 27938",-76.6675709,36.4527326,370308,Gates County Schools,Central Middle School,C,56,0.53,27938,Regular School,Traditional Calendar,377,28,13.46428571,8092.44,942.9,2058.81,11094.15
"3633 Hwy 16 N, Denver, NC, 28037",-81.0257195,35.5302629,550356,Lincoln County Schools,Rock Springs Elementary,B,84,0,28037,Regular School,Traditional Calendar,534,34,15.70588235,5501.99,880.28,1777.78,8160.05
"3637 Middle Sound Rd, Wilmington, NC, 28411",-77.809496,34.2661541,650356,New Hanover County Schools,Ogden Elementary,A,86,0,28411,Regular School,Traditional Calendar,695,40,17.375,5458.65,886.16,2834.7,9179.51
"365 Commons Drive South, Jacksonville, NC, 28546",-77.3887867,34.7915317,670333,Onslow County Schools,Northside High,B,77,1.67,28546,Regular School,Traditional Calendar,1135,66,17.1969697,5247.34,697.11,2055.04,7999.49
"366 4th Street NW, Hickory, NC, 28601",-81.3435134,35.7373111,181336,Hickory City Schools,Oakwood Elementary,C,69,0.27,28601,Regular School,Traditional Calendar,364,23,15.82608696,5759.6,1031.32,1848.26,8639.18
"36605 Old Salisbury Rd, New London, NC, 28127",-80.2332913,35.4115232,840328,Stanly County Schools,North Stanly Middle,C,66,0.18,28127,Regular School,Traditional Calendar,542,36,15.05555556,6061.38,879.35,1395.28,8336.01
"3678 Finch Farm Rd, Trinity, NC, 27370",-80.0076919,35.8290476,760388,Randolph County Schools,Wheatmore High,B,76,1.22,27370,Regular School,Traditional Calendar,819,48,17.0625,5756.15,1039.15,1371.15,8166.45
"3680 Wilkesboro Boulevard, Lenoir, NC, 28645",-81.400566,35.99204,140360,Caldwell County Schools,Kings Creek Elementary,C,62,0,28645,Regular School,Traditional Calendar,193,14,13.78571429,6184.32,971.52,1797.03,8952.87
"3695 East Burke Boulevard, Connelly Springs, NC, 28612",-81.482611,35.719945,120314,Burke County Schools,East Burke High,C,67,1.14,28612,Regular School,Traditional Calendar,962,56,17.17857143,6119.8,982.92,1409.5,8512.22
"37 Brickyard Road, Asheville, NC, 28806",-82.5922712,35.5983122,110348,Buncombe County Schools,Emma Elementary,C,59,0.26,28806,Regular School,Traditional Calendar,381,31,12.29032258,5669,917.31,2493.43,9079.74
"37 E Mill Pond Rd, Roper, NC, 27970",-76.6120408,35.8703519,940328,Washington County Schools,Washington County Union,F,39,0,27970,Regular School,Traditional Calendar,258,20,12.9,8245.73,2321.47,1621.67,12188.87
"370 Shawboro Road, Shawboro, NC, 27973",-76.086962,36.437194,270310,Currituck County Schools,Shawboro Elementary School,B,71,0.18,27973,Regular School,Traditional Calendar,542,32,16.9375,5773.92,666.3,2767.53,9207.75
"3700 NC 86 South, Hillsborough, NC, 27278",-79.1223537,36.1447317,680304,Orange County Schools,A L Stanback Middle,C,60,1.1,27278,Regular School,Traditional Calendar,635,47,13.5106383,5645.51,668.18,4025.31,10339
"3701 Haven Dr, Charlotte, NC, 28209",-80.848753,35.177742,600492,Charlotte-Mecklenburg Schools,Park Road Montessori,B,83,0,28209,Magnet School,Traditional Calendar,454,27,16.81481481,5227.1,942.34,2352.27,8521.71
"3707 Marsh Creek Rd, Raleigh, NC, 27604",-78.5755631,35.8194657,920616,Wake County Schools,Wilburn Elementary,C,61,0.72,27604,Regular School,Year-Round Calendar,698,53,13.16981132,5349.09,659.07,2528.16,8536.32
"3712 Canterbury Road, New Bern, NC, 28562",-77.08364,35.083429,250304,Craven County Schools,Albert H Bangert Elementary,B,75,0,28562,Regular School,Traditional Calendar,433,28,15.46428571,5535.55,1174.8,1684.1,8394.45
"3720 Bonnar Bridge Parkway, Burlington, NC, 27215",-79.517819,36.058665,10312,Alamance-Burlington Schools,Highland Elementary,B,72,0,27215,Regular School,Traditional Calendar,669,45,14.86666667,5529.5,1155.92,1832.54,8517.96
"3720 Pinetop Road, Greensboro, NC, 27410",-79.8613675,36.1116165,410343,Guilford County Schools,Claxton Elementary,B,74,0,27410,Regular School,Traditional Calendar,607,36,16.86111111,5453.57,1087.81,2785.51,9326.89
"3727 Fayetteville St, Durham, NC, 27707",-78.9035419,35.9532104,320325,Durham Public Schools,Hillside High,C,62,3.13,27707,Regular School,Traditional Calendar,1247,90,13.85555556,5829.04,1126.43,3601.48,10556.95
"3727 Fayetteville St, Durham, NC, 27707",-78.9035419,35.9532104,320701,Durham Public Schools,Hillside New Tech High,C,65,1.36,27707,Regular School,Traditional Calendar,220,20,11,5829.04,1126.43,3601.48,10556.95
"3727 Fayetteville St, Durham, NC, 27707",-78.9035419,35.9532104,320325,Durham Public Schools,Hillside High,C,62,3.13,27707,Regular School,Traditional Calendar,1247,90,13.85555556,5829.04,1126.43,3601.48,10556.95
"3727 Fayetteville St, Durham, NC, 27707",-78.9035419,35.9532104,320701,Durham Public Schools,Hillside New Tech High,C,65,1.36,27707,Regular School,Traditional Calendar,220,20,11,5829.04,1126.43,3601.48,10556.95
"3734 Governors Road, Kelford, NC, 27847",-77.2151876,36.1557867,80356,Bertie County Schools,West Bertie Elementary,D,46,0.4,27847,Regular School,Traditional Calendar,253,20,12.65,8324.24,2281.73,1884.09,12490.06
"374 Sulphur Springs Road, Hiddenite, NC, 28636",-81.0893554,35.9071151,20316,Alexander County Schools,Hiddenite Elementary,C,57,0.2,28636,Regular School,Traditional Calendar,512,34,15.05882353,6063.47,923.51,1518.55,8505.53
"37432 Hwy 561, Hollister, NC, 27844",-77.9423872,36.2576084,420336,Halifax County Schools,Hollister Elementary,C,63,0,27844,Regular School,Traditional Calendar,173,13,13.30769231,7466.23,2847.1,998.15,11311.48
"375 Pittsboro School Road, Pittsboro, NC, 27312",-79.1838751,35.7174543,190348,Chatham County Schools,Pittsboro Elementary,B,71,0.6,27312,Regular School,Traditional Calendar,501,33,15.18181818,5698.82,909.6,3226.23,9834.65
"375 Winecoff Sch Road, Concord, NC, 28027",-80.6179398,35.4464301,130340,Cabarrus County Schools,Winecoff Elementary,D,49,0,28027,Regular School,Traditional Calendar,879,61,14.40983607,5218.56,638.81,2168.65,8026.02
"3750 N Center Street, Hickory, NC, 28601",-81.320183,35.7805,181326,Hickory City Schools,W M Jenkins Elementary,B,72,0,28601,Regular School,Traditional Calendar,409,25,16.36,5759.6,1031.32,1848.26,8639.18
"3750 Transou Road, Pfafftown, NC, 27040",-80.364424,36.169053,340495,Forsyth County Schools,Ronald W Reagan High School,B,78,0.27,27040,Regular School,Traditional Calendar,1824,97,18.80412371,5616.37,1080.06,2335.59,9032.02
"3761 US 117 S Alt, Dudley, NC, 28333",-78.036535,35.293618,960312,Wayne County Public Schools,Brogden Middle,D,42,1,28333,Regular School,Traditional Calendar,500,30,16.66666667,6171.58,1200.4,1188.1,8560.08
"3775 Fraternity Church Road, Winston-Salem, NC, 27127",-80.3428339,36.0249862,340548,Forsyth County Schools,Ward Elementary,D,51,0,27127,Regular School,Traditional Calendar,748,50,14.96,5616.37,1080.06,2335.59,9032.02
"378 Mill Creek Rd, Roxboro, NC, 27574",-78.9062504,36.4383146,730340,Person County Schools,North End Elementary,C,69,0,27574,Regular School,Traditional Calendar,202,14,14.42857143,6110.14,1175.29,1899.77,9185.2
"3785 Fraternity Church Road, Winston-Salem, NC, 27127",-80.3428335,36.025037,340350,Forsyth County Schools,Clemmons Middle School,C,62,1.01,27127,Regular School,Traditional Calendar,986,60,16.43333333,5616.37,1080.06,2335.59,9032.02
"3800 Rea Rd, Charlotte, NC, 28226",-80.798528,35.110659,600491,Charlotte-Mecklenburg Schools,Olde Providence Elementary,A,88,0.42,28226,Regular School,Traditional Calendar,722,40,18.05,5227.1,942.34,2352.27,8521.71
"3801 NC Highway 150 East, Greensboro, NC, 27455",-79.7668868,36.2285224,410486,Guilford County Schools,Northern Guilford Elementary,A,85,0,27455,Regular School,Traditional Calendar,599,35,17.11428571,5453.57,1087.81,2785.51,9326.89
"3801 Spring Forest Rd, Raleigh, NC, 27616",-78.5762465,35.8561484,920408,Wake County Schools,East Millbrook Middle,C,57,0.65,27616,Magnet School,Traditional Calendar,930,66,14.09090909,5349.09,659.07,2528.16,8536.32
"3809 Village Drive, Fayetteville, NC, 28304",-78.9410258,35.0253757,260396,Cumberland County Schools,Mary McArthur Elementary,C,59,0.46,28304,Regular School,Traditional Calendar,437,32,13.65625,5413.29,1180.42,1671.5,8265.21
"3810 Wake Forest Road, Durham, NC, 27703",-78.819459,35.979946,320360,Durham Public Schools,Oak Grove Elementary,C,55,0.16,27703,Regular School,Traditional Calendar,611,48,12.72916667,5829.04,1126.43,3601.48,10556.95
"3815 Old Greensboro Road, Winston-Salem, NC, 27101",-80.1914948,36.1134506,340490,Forsyth County Schools,Petree Elementary,D,42,0,27101,Regular School,Traditional Calendar,397,31,12.80645161,5616.37,1080.06,2335.59,9032.02
"3825 Johnston Oehler Rd, Charlotte, NC, 28269",-80.7689231,35.3641729,600445,Charlotte-Mecklenburg Schools,Mallard Creek High,B,80,1.96,28269,Regular School,Traditional Calendar,2494,133,18.7518797,5227.1,942.34,2352.27,8521.71
"3829 Forestville Road, Raleigh, NC, 27616",-78.5120139,35.873041,920451,Wake County Schools,Harris Creek Elementary,C,65,0,27616,Regular School,Year-Round Calendar,1072,67,16,5349.09,659.07,2528.16,8536.32
"3831 US HWY 17 S, Chocowinity, NC, 27817",-77.1129906,35.4818918,70325,Beaufort County Schools,Chocowinity Middle,D,52,0.49,27817,Regular School,Traditional Calendar,406,28,14.5,6029.27,1104.29,2425.54,9559.1
"3851 Spring Forest Road, Raleigh, NC, 27616",-78.573629,35.8573362,920344,Wake County Schools,Brooks Elementary,B,76,0,27616,Magnet School,Traditional Calendar,564,41,13.75609756,5349.09,659.07,2528.16,8536.32
"3860 Liberty Rd, Gold Hill, NC, 28071",-80.337223,35.579666,800368,Rowan-Salisbury Schools,Morgan Elementary,C,61,0.31,28071,Regular School,Traditional Calendar,326,25,13.04,5682.81,1066.11,1829.49,8578.41
"3876 Sunnyside School Road, Fayetteville, NC, 28312",-78.7971887,35.0282224,260440,Cumberland County Schools,Sunnyside Elementary,C,56,1.06,28312,Regular School,Traditional Calendar,379,26,14.57692308,5413.29,1180.42,1671.5,8265.21
"3894 NC 50 South, Chinquapin, NC, 28521",-77.811291,34.824038,310330,Duplin County Schools,Chinquapin Elementary,C,61,0,28521,Regular School,Traditional Calendar,534,40,13.35,6345.98,1233.78,1377.45,8957.21
"390 Asbury Road, Candler, NC, 28715",-82.6644723,35.5521969,110401,Buncombe County Schools,Enka Middle,C,56,0.55,28715,Regular School,Traditional Calendar,904,61,14.81967213,5669,917.31,2493.43,9079.74
