full_address,lon,lat,school_code,district_name,school_name,grade,spg_score,crime_per_c_num,szip_ad,school_type_txt,calendar_only_txt,student_num,class_teach_num,calc_student_teach_ratio,state+ppe,federal_ppe,local_ppe,total_ppe
"1095 Surry Line Rd, Pinnacle, NC, 27043",-80.4366,36.327782,850340,Stokes County Schools,Pinnacle Elementary,C,65,0.6,27043,Regular School,Traditional Calendar,168,13,12.92307692,6572.72,1127.27,1867.71,9567.7
"1099 East Young St, Rolesville, NC, 27571",-78.4540919,35.918794,920546,Wake County Schools,Rolesville High,C,62,1.92,27571,Regular School,Traditional Calendar,1771,107,16.55140187,5349.09,659.07,2528.16,8536.32
"110 Brown Road, Kernersville, NC, 27284",-80.0728566,36.1365246,340420,Forsyth County Schools,Kernersville Middle,C,64,0.14,27284,Regular School,Traditional Calendar,722,46,15.69565217,5616.37,1080.06,2335.59,9032.02
"110 Carraway Drive, Beaufort, NC, 28516",-76.6462719,34.7283572,160308,Carteret County Public Schools,Beaufort Elementary,C,64,0.45,28516,Regular School,Traditional Calendar,445,38,11.71052632,5589.94,837.39,2875.09,9302.42
"110 Clontz Road, Monroe, NC, 28110",-80.5400506,35.1602297,900312,Union County Public Schools,Fairview Elementary,B,70,0,28110,Regular School,Traditional Calendar,519,28,18.53571429,5200.55,578.12,2335.55,8114.22
"110 E Foy Street, Richlands, NC, 28574",-77.540591,34.8999809,670339,Onslow County Schools,Richlands Elementary,D,49,0,28574,Regular School,Traditional Calendar,778,45,17.28888889,5247.34,697.11,2055.04,7999.49
"110 Jarvisburg Rd, Jarvisburg, NC, 27947",-75.856585,36.199125,270309,Currituck County Schools,Jarvisburg Elementary,C,58,1.51,27947,Regular School,Traditional Calendar,265,18,14.72222222,5773.92,666.3,2767.53,9207.75
"110 Middle Creek Park Avenue, Apex, NC, 27539",-78.759466,35.67025,920494,Wake County Schools,Middle Creek Elementary,B,72,0.12,27539,Regular School,Year-Round Calendar,851,59,14.42372881,5349.09,659.07,2528.16,8536.32
"110 N Central Avenue, Belmont, NC, 28012",-81.04154,35.241683,360324,Gaston County Schools,Belmont Middle,C,67,0,28012,Regular School,Traditional Calendar,733,41,17.87804878,5402.62,971.33,1724.46,8098.41
"110 Potter Rd S, Monroe, NC, 28110",-80.6729826,35.0053355,900380,Union County Public Schools,Wesley Chapel Elementary,B,75,0,28110,Regular School,Traditional Calendar,499,29,17.20689655,5200.55,578.12,2335.55,8114.22
"110 S King Street, Bath, NC, 27808",-76.8109849,35.4771966,70308,Beaufort County Schools,Bath Elementary,B,72,0.17,27808,Regular School,Traditional Calendar,576,39,14.76923077,6029.27,1104.29,2425.54,9559.1
"1100 Blanton Street, Shelby, NC, 28150",-81.558864,35.288762,230342,Cleveland County Schools,Graham Elementary,D,41,1.02,28150,Regular School,Traditional Calendar,293,26,11.26923077,5967.87,1248.84,2035.02,9251.73
"1100 Eastway Dr, Charlotte, NC, 28205",-80.7833863,35.2417204,600397,Charlotte-Mecklenburg Schools,Garinger High,D,54,4.44,28205,Regular School,Traditional Calendar,1781,122,14.59836066,5227.1,942.34,2352.27,8521.71
